title,res
"fraction homeowners (bottom 1/3 by income)",.5
"fraction homeowners (mid 1/3 by income)",.68
"fraction homeowners (top 1/3 by income)",.75
"fraction homeowners (age: 25-45)",.56
"fraction homeowners (age: 45-65)",.72
"fraction homeowners (age: 65-85)",.71
