title,res
"Mean Income",49000
"Mean   Wealth ",241000
"Mean   Liq Assets ",154300
"Fraction of Homeowners ",.71
"10 pct liq assets (all) ",-900
"25 pct liq assets (all) ",200
"50 pct liq assets (all) ",7000
"10 pct liq assets (own) ",-500
"25 pct liq assets (own) ",1600
"50 pct liq assets (own) ",15600
"25 pct share H n.worth in Wealth (owners)",.46
"Median share H n.worth in Wealth (owners)",.77
"75 pct share H n.worth in Wealth (owners)",.96
