title,res
"Fraction of Homeowners ",.59
"Mean   Wealth (all) / Mean Income (all)",1.27
"Mean   House (all) / Mean Income (all)",1.86
"Mean mortgage debt/Mean Income",.92
"Fraction borrowers who extract",.05
"Mean   Liq Assets (all) /Mean Income (all)   ",.34
"Median liq assets (all) / mean income (all)",.03
"Median liq assets (own) / mean income (all)",.43
"Median liq assets (own) / mean income (all)",.08
"fraction hand-to-mouth",.47
"fraction hand-to-mouth homeowners",.38
"90 pct liq assets (own) / mean income (all)",1.41
"mean wealth retirees to workers",2.28
"home production to consumption",.23
