title,res
"Mean Income",92200
"Mean   Wealth ",947000
"Mean   Liq Assets ",670000
"Fraction of Homeowners ",.97
"10 pct liq assets (all) ",32100
"25 pct liq assets (all) ",96700
"50 pct liq assets (all) ",232100
"10 pct liq assets (own) ",30600
"25 pct liq assets (own) ",94600
"50 pct liq assets (own) ",225000
"25 pct share H n.worth in Wealth (owners)",.24
"Median share H n.worth in Wealth (owners)",.43
"75 pct share H n.worth in Wealth (owners)",.7
