title,res
"Mean Income",37300
"Mean   Wealth ",54000
"Mean   Liq Assets ",17100
"Fraction of Homeowners ",.64
"10 pct liq assets (all) ",-1600
"25 pct liq assets (all) ",0
"50 pct liq assets (all) ",2700
"10 pct liq assets (own) ",-1400
"25 pct liq assets (own) ",400
"50 pct liq assets (own) ",5700
"25 pct share H n.worth in Wealth (owners)",.64
"Median share H n.worth in Wealth (owners)",.87
"75 pct share H n.worth in Wealth (owners)",.99
