title,res
"Fraction of Homeowners ",.59
"Mean   Wealth (all) / Mean Income (all)",1.27
"Mean   House (all) / Mean Income (all)",1.86
"Mean mortgage debt/Mean Income",.92
"Mean   Liq Assets (all) /Mean Income (all)   ",.34
"10 pct liq assets (all) / mean income (all)",-.05
"25 pct liq assets (all) / mean income (all)",0
"Median liq assets (all) / mean income (all)",.03
"75 pct liq assets (all) / mean income (all)",.3
"90 pct liq assets (all) / mean income (all)",1.12
