title,res
"10 pct PTI ratio, borrowers",.05
"25 pct PTI ratio, borrowers",.08
"Median PTI ratio, borrowers",.11
"75 pct PTI ratio, borrowers",.17
"90 pct PTI ratio, borrowers",.24
